"Table with row headers in columns A and B, and column headers in rows 5 through 6.",,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2020",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Race,Sex,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1
,White alone,Unknown,2994,2888,2194,73.3,3.3,76,3.3,1997,66.7,3.6,69.1,3.5
,White non-Hispanic alone,Unknown,2845,2831,2165,76.1,3.3,76.5,3.3,1971,69.3,3.6,69.6,3.6
,Black alone,Unknown,259,224,167,64.5,11.7,74.6,11.5,140,54,12.2,62.5,12.7
,Asian alone,Unknown,46,31,24,B,B,B,B,24,B,B,B,B
,Hispanic (of any race),Unknown,163,60,30,B,B,B,B,26,B,B,B,B
,White alone or in combination,Unknown,3063,2957,2243,73.2,3.3,75.8,3.2,2035,66.4,3.5,68.8,3.5
,Black alone or in combination,Unknown,306,271,198,64.7,10.8,73,10.6,161,52.5,11.2,59.3,11.8
,Asian alone or in combination,Unknown,49,35,24,B,B,B,B,24,B,B,B,B
LOUISIANA,Total,Unknown,3438,3299,2286,66.5,3.2,69.3,3.2,2041,59.4,3.3,61.9,3.3
,Unknown,Male,1618,1557,1073,66.3,4.6,68.9,4.6,959,59.3,4.8,61.6,4.9
,Unknown,Female,1820,1742,1214,66.7,4.4,69.7,4.3,1082,59.5,4.5,62.1,4.6
,White alone,Unknown,2212,2120,1486,67.2,3.9,70.1,3.9,1362,61.6,4.1,64.2,4.1
,White non-Hispanic alone,Unknown,2048,2022,1426,69.6,4,70.5,4,1309,63.9,4.2,64.7,4.2
,Black alone,Unknown,1068,1048,720,67.5,5.4,68.7,5.4,607,56.9,5.7,57.9,5.7
,Asian alone,Unknown,84,57,23,B,B,B,B,23,B,B,B,B
,Hispanic (of any race),Unknown,210,131,84,40,13.9,64.3,17.3,72,34.3,13.5,55.1,17.9
,White alone or in combination,Unknown,2261,2169,1524,67.4,3.9,70.3,3.9,1396,61.8,4,64.4,4.1
,Black alone or in combination,Unknown,1092,1072,737,67.5,5.3,68.8,5.3,624,57.2,5.6,58.2,5.7
,Asian alone or in combination,Unknown,90,63,29,B,B,B,B,26,B,B,B,B
MAINE,Total,Unknown,1087,1075,832,76.5,3.2,77.4,3.2,766,70.5,3.4,71.3,3.4
,Unknown,Male,523,515,383,73.2,4.8,74.3,4.8,351,67.2,5.1,68.2,5.1
,Unknown,Female,564,560,449,79.5,4.2,80.2,4.2,415,73.5,4.6,74.1,4.6
,White alone,Unknown,1036,1031,803,77.5,3.2,77.9,3.2,739,71.3,3.5,71.7,3.5
,White non-Hispanic alone,Unknown,1027,1022,798,77.7,3.2,78.1,3.2,734,71.5,3.5,71.8,3.5
,Black alone,Unknown,13,8,4,B,B,B,B,4,B,B,B,B
,Asian alone,Unknown,10,7,6,B,B,B,B,6,B,B,B,B
