"Table with row headers in columns A and B, and column headers in rows 4 through 5.",,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2016",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
STATE,Race,Sex,Total Population,Total Citizen Population,Registered,,,,,Voted,,,,
,,,,,Total registered,"Percent registered
(Total)",Margin of Error 1,"Percent registered
(Citizen)",Margin of Error 1,Total voted,"Percent voted
(Total)",Margin of Error 1,"Percent voted
(Citizen)",Margin of Error 1
,White alone,Unknown,3014,2953,2038,67.6,2.8,69,2.8,1669,55.4,3,56.5,3
,White non-Hispanic alone,Unknown,2892,2881,1998,69.1,2.8,69.3,2.8,1634,56.5,3.1,56.7,3.1
,Black alone,Unknown,250,231,187,74.9,11,81.2,10.3,159,63.7,12.2,69.1,12.2
,Asian alone,Unknown,28,14,3,B,B,B,B,3,B,B,B,B
,Hispanic (of any race),Unknown,138,79,44,B,B,B,B,38,B,B,B,B
,White alone or in combination,Unknown,3052,2991,2055,67.3,2.8,68.7,2.8,1680,55,3,56.1,3
,Black alone or in combination,Unknown,281,262,210,74.5,10.4,80,9.9,175,62.3,11.6,66.9,11.7
,Asian alone or in combination,Unknown,36,23,8,B,B,B,B,8,B,B,B,B
LOUISIANA,Total,Unknown,3463,3353,2446,70.6,2.5,73,2.4,2067,59.7,2.6,61.6,2.7
,Unknown,Male,1650,1580,1119,67.8,3.6,70.8,3.6,925,56.1,3.9,58.5,3.9
,Unknown,Female,1813,1773,1327,73.2,3.3,74.8,3.3,1142,63,3.6,64.4,3.6
,White alone,Unknown,2251,2193,1631,72.4,3,74.4,3,1368,60.8,3.3,62.4,3.3
,White non-Hispanic alone,Unknown,2112,2100,1557,73.7,3,74.2,3,1311,62.1,3.3,62.5,3.3
,Black alone,Unknown,1062,1054,755,71.1,5.3,71.6,5.3,646,60.9,5.7,61.3,5.8
,Asian alone,Unknown,101,65,26,B,B,B,B,23,B,B,B,B
,Hispanic (of any race),Unknown,174,121,99,56.7,18.7,81.5,17.6,82,47.2,18.9,67.9,21.1
,White alone or in combination,Unknown,2275,2216,1652,72.6,3,74.6,2.9,1386,60.9,3.2,62.5,3.3
,Black alone or in combination,Unknown,1078,1070,771,71.5,5.3,72,5.3,661,61.3,5.7,61.8,5.7
,Asian alone or in combination,Unknown,103,67,26,B,B,B,B,23,B,B,B,B
MAINE,Total,Unknown,1058,1038,830,78.5,2.5,80,2.5,754,71.3,2.8,72.7,2.8
,Unknown,Male,510,500,388,76.1,3.8,77.5,3.7,347,68.1,4.1,69.3,4.1
,Unknown,Female,548,537,442,80.7,3.4,82.3,3.3,408,74.3,3.7,75.8,3.7
,White alone,Unknown,1001,988,793,79.2,2.6,80.3,2.5,720,71.9,2.8,72.9,2.8
,White non-Hispanic alone,Unknown,982,972,786,80.1,2.5,80.9,2.5,713,72.6,2.8,73.3,2.8
,Black alone,Unknown,13,10,9,B,B,B,B,7,B,B,B,B
,Asian alone,Unknown,11,8,6,B,B,B,B,5,B,B,B,B
,Hispanic (of any race),Unknown,20,16,7,B,B,B,B,7,B,B,B,B
,White alone or in combination,Unknown,1026,1013,811,79,2.5,80,2.5,738,71.9,2.8,72.8,2.8
,Black alone or in combination,Unknown,17,14,9,B,B,B,B,7,B,B,B,B
,Asian alone or in combination,Unknown,13,9,7,B,B,B,B,6,B,B,B,B
MARYLAND,Total,Unknown,4623,4158,3114,67.3,2.3,74.9,2.3,2737,59.2,2.4,65.8,2.5
,Unknown,Male,2203,1963,1454,66,3.4,74.1,3.3,1253,56.9,3.5,63.8,3.6
,Unknown,Female,2420,2194,1659,68.6,3.2,75.6,3.1,1484,61.3,3.3,67.6,3.4
,White alone,Unknown,2784,2593,1975,70.9,2.9,76.2,2.8,1727,62,3.1,66.6,3.1
,White non-Hispanic alone,Unknown,2434,2392,1829,75.2,2.9,76.5,2.9,1605,65.9,3.2,67.1,3.2
,Black alone,Unknown,1386,1289,954,68.9,5.1,74,5,858,61.9,5.3,66.6,5.3
,Asian alone,Unknown,349,213,147,42,11.2,69.1,13.4,117,33.4,10.7,54.9,14.5
,Hispanic (of any race),Unknown,450,250,170,37.9,12.1,68.2,15.5,148,32.8,11.7,59.1,16.4
,White alone or in combination,Unknown,2820,2629,2002,71,2.9,76.2,2.8,1752,62.1,3.1,66.6,3.1
,Black alone or in combination,Unknown,1421,1324,984,69.2,5,74.3,4.9,884,62.2,5.2,66.8,5.3
,Asian alone or in combination,Unknown,349,213,147,42,11.2,69.1,13.4,117,33.4,10.7,54.9,14.5
MASSACHUSETTS,Total,Unknown,5374,4967,3660,68.1,2.1,73.7,2,3315,61.7,2.2,66.7,2.2
,Unknown,Male,2585,2382,1767,68.3,3,74.2,2.9,1599,61.9,3.1,67.1,3.1
,Unknown,Female,2788,2585,1893,67.9,2.9,73.2,2.8,1715,61.5,3,66.4,3
